05.10.2018                                                                                                       Saída dinâmica de lista                                                                                                               1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Itm|Medi|Nota    |Ordem     |P|Texto das medidas                       |Texto do item                           |CenTrabRes|StatUsuár.|StatSist |Local de instalação           |Exec.por|Fim plan. |Problema|GrCoMed |Data      |Concluído |ÁrO|CóMd|
|    8|  12|10644437|          |5|LA-A-35: CALD. III-3                    |ISO-003                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
|    8|  13|10644437|          |5|LA-A-35: CALD. III-3                    |ISO-003                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
|    8|  14|10644437|          |5|LA-A-35: CALD. III-3                    |ISO-003                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
|    1|   1|6369863 |          |1|teste                                   |                                        |          |PH        |MEDA     |00013964.SISANM               |030GPL02|          |PMANORMA|CAMPSPAR|07.08.2013|          |P20|D   |
|    1|   1|5426045 |2017558338|5|REPAR: (PONTOON EL-1500 ZONA 101)       |Furo reparado provisór. chapa sobreposta|CTPCM     |RECB      |MEDL     |301018.FSCA.511103.000001     |CTMIINTG|30.11.2018|INSPINTE|CAMPSPAR|27.06.2012|          |P18|C   |
|    1|   1|8948344 |2018211426|5|SD-DEC-A11E: REPAR                      |                                        |CTPCM     |RECB      |MEDL     |301018.FSCA.511103.000001     |CTMEINTG|30.05.2019|PMGERAL |PARDPAR |24.07.2016|          |P18|C   |
|    1|   2|10091048|2017169631|3|CI-A31A: REPAR                          |                                        |CTMIPPRO  |RECB      |MEDL     |301018.FSCA.511103.000001     |CTMIPPRO|29.01.2018|PMANORMA|PARDSPAR|09.11.2017|          |P18|C   |
|    1|   1|10091048|2017169631|3|CI-A31A: REPAR                          |                                        |CTMIPPRO  |RECB      |MEDL     |301018.FSCA.511103.000001     |CTMIPPRO|29.01.2018|PMANORMA|PARDSPAR|09.11.2017|          |P18|C   |
|   11|  21|4473757 |2008354102|4|LDEC-A-31A:CALD                         |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIINTG|30.06.2013|PMANORMA|CAMPPAR |03.05.2011|03.06.2013|P18|C   |
|   12|  20|4473757 |2008354102|4|CI-A36B: CALD                           |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIINTG|28.02.2020|PMANORMA|CAMPSPAR|03.05.2011|29.07.2018|P18|D   |
|   11|  19|4473757 |2008354102|4|LDEC-A-31A:REPAR                        |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTUMA_P |31.07.2015|PMANORMA|CAMPSPAR|03.05.2011|06.05.2014|P18|C   |
|   11|  18|4473757 |2008354102|4|LDEC-A-31A:REPAR                        |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIUMC |30.04.2017|PMANORMA|CAMPSPAR|03.05.2011|06.12.2015|P18|D   |
|   11|  17|4473757 |2008354102|4|LDEC-A-31A:CALD                         |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |010PLI02|27.05.2012|PMANORMA|CAMPSPAR|03.05.2011|24.09.2011|P18|C   |
|   10|  16|4473757 |2008354102|4|LDEC-A-31A:PINT                         |CORROSÃO EXTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |010PLI02|27.05.2012|PMANORMA|CAMPSPAR|03.05.2011|16.09.2011|P18|C   |
|    1|   1|4473757 |2008354102|4|PONT-A05:REPAR                          |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIUMC |31.03.2017|PMANORMA|CAMPSPAR|03.05.2011|23.04.2016|P18|C   |
|    2|   2|4473757 |2008354102|4|PONT-A03: REPAR                         |CORROSÃO INTERNA                        |          |RECB      |MEDL     |301018.FSCA.511103.000001     |CTPCM   |30.03.2019|PMANORMA|CAMPSPAR|03.05.2011|          |P18|C   |
|    3|   3|4473757 |2008354102|4|PONT-A-03:REPAR                         |SUBSTITUIR SPOOL                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIINTG|26.05.2012|PMANORMA|CAMPSPAR|03.05.2011|13.03.2013|P18|C   |
|    4|   4|4473757 |2008354102|4|PONT-A-03:REPAR                         |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIINTG|26.05.2012|PMANORMA|CAMPSPAR|03.05.2011|13.03.2013|P18|C   |
|    5|   5|4473757 |2008354102|4|PONT-A-03:CALD                          |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIUMC |30.04.2016|PMANORMA|CAMPSPAR|03.05.2011|13.03.2016|P18|C   |
|    6|   6|4473757 |2008354102|4|SP-DEC-A-11A:CALD                       |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIUMC |31.03.2017|PMANORMA|CAMPSPAR|03.05.2011|23.04.2016|P18|C   |
|    6|   7|4473757 |2008354102|4|SP-DEC-A-11A:CALD                       |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIINTG|13.09.2013|PMANORMA|CAMPSPAR|03.05.2011|15.09.2013|P18|C   |
|    6|   8|4473757 |2008354102|4|SP-DEC-A-11C:PINT                       |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |010PLI02|26.05.2012|PMANORMA|CAMPSPAR|03.05.2011|22.09.2011|P18|C   |
|    6|   9|4473757 |2008354102|4|SP-DEC-A-12C:CALD                       |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIUMC |31.07.2016|PMANORMA|CAMPSPAR|03.05.2011|23.04.2016|P18|C   |
|    7|  10|4473757 |2008354102|4|SP-DEC-A-12C:CALD/REPAR                 |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIUMC |31.07.2016|PMANORMA|CAMPSPAR|03.05.2011|13.03.2016|P18|C   |
|    7|  11|4473757 |2008354102|4|SP-DEC-A-11E:PINT                       |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |010PLI02|27.05.2012|PMANORMA|CAMPSPAR|03.05.2011|16.09.2011|P18|C   |
|    7|  12|4473757 |2008354102|4|SP-DEC-A-11E:CALD                       |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIPPRO|31.07.2016|PMANORMA|CAMPSPAR|03.05.2011|17.05.2016|P18|C   |
|    8|  13|4473757 |2008354102|4|LDEC-A-31A:REPAR                        |REPARO PROVISÓRIO                       |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIPPRO|30.09.2017|PMANORMA|CAMPSPAR|03.05.2011|17.05.2016|P18|D   |
|    9|  14|4473757 |2008354102|4|LDEC-A-31-A:REPAR                       |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIPPRO|31.07.2016|PMANORMA|CAMPSPAR|03.05.2011|17.05.2016|P18|C   |
|    9|  15|4473757 |2008354102|4|LDEC-A-32:CALD                          |CORROSÃO INTERNA                        |          |CMAN      |MEDE MSUC|301018.FSCA.511103.000001     |CTMIPPRO|31.07.2016|PMANORMA|CAMPSPAR|03.05.2011|17.05.2016|P18|C   |
|    2|  12|10127739|2017117983|2|PONT-A05:CALD                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|12.03.2018|P18|D   |
|    3|  13|10127739|2017117983|2|CI-A36A:CALD                            |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    3|  14|10127739|2017117983|2|PONT-A03:REPAR                          |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMIINTG|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    3|  15|10127739|2017117983|2|PONT-A03:CALD                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|11.03.2018|P18|D   |
|    3|  16|10127739|2017117983|2|PONT-A03:PINT                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIINTG|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|24.03.2018|P18|D   |
|    3|  17|10127739|2017117983|2|PONT-A03:CALD                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|11.03.2018|P18|D   |
|    3|  18|10127739|2017117983|2|PONT-A03:PINT                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|24.03.2018|P18|D   |
|    3|  19|10127739|2017117983|2|PONT-A03:PINT                           |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    3|  20|10127739|2017117983|2|PONT-A04:PINT                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|11.03.2018|P18|D   |
|    3|  21|10127739|2017117983|2|PONT-A04:PINT                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|11.03.2018|P18|D   |
|    4|  22|10127739|2017117983|2|CI-A31:CALD                             |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMIOP  |01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    5|  32|10127739|2017117983|2|PONT-A08:CALD                           |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    5|  31|10127739|2017117983|2|PONT-A07:PINT                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|06.05.2018|P18|D   |
|    5|  30|10127739|2017117983|2|PONT-A07:CALD                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|06.04.2018|P18|D   |
|    5|  29|10127739|2017117983|2|SD-A98:PINT                             |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|19.08.2018|P18|D   |
|    5|  28|10127739|2017117983|2|CS-A74:CALD                             |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMIINTG|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    5|  27|10127739|2017117983|2|CS-A48C:CALD                            |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMIINTG|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    4|  26|10127739|2017117983|2|PONT-A01:PINT                           |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    4|  25|10127739|2017117983|2|CI-A34:PINT                             |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|03.05.2018|P18|D   |
|    4|  24|10127739|2017117983|2|CS-A56: PINT                            |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|24.03.2018|P18|D   |
|    4|  23|10127739|2017117983|2|CS-A56:CALD                             |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMIINTG|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    2|  11|10127739|2017117983|2|PONT-A05:PINT                           |                                        |CTMIECOP  |ELIM      |MEDE     |301018.FSCA.512199.000001     |010COE02|          |PMGERAL |CAMPSPAR|25.11.2017|          |P18|C   |
|    2|  10|10127739|2017117983|2|PONT-A05:PINT                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|31.07.2018|P18|D   |
|    2|   9|10127739|2017117983|2|PONT-A05:CALD                           |                                        |CTMIECOP  |ELIM      |MEDE     |301018.FSCA.512199.000001     |010COE02|          |PMGERAL |CAMPSPAR|25.11.2017|          |P18|C   |
|    2|   8|10127739|2017117983|2|PONT-A05:CALD                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|12.03.2018|P18|D   |
|    2|   7|10127739|2017117983|2|PONT-A05:PINT                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|31.07.2018|P18|D   |
|    2|   6|10127739|2017117983|2|PONT-A06:PINT                           |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|28.07.2018|P18|D   |
|    2|   5|10127739|2017117983|2|CI-A22A:CALD                            |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|07.07.2018|P18|D   |
|    2|   4|10127739|2017117983|2|CI-A22A:PINT                            |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|07.07.2018|P18|D   |
|    1|   3|10127739|2017117983|2|CI-A22A                                 |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMEINTG|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    1|   2|10127739|2017117983|2|CI-A22A                                 |                                        |CTMIECOP  |RECB      |MEDL     |301018.FSCA.512199.000001     |CTMEINTG|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|          |P18|D   |
|    1|   1|10127739|2017117983|2|CI-A22A                                 |                                        |CTMIECOP  |CMAN      |MEDE MSUC|301018.FSCA.512199.000001     |CTMIECOP|01.02.2018|PMGERAL |CAMPSPAR|25.11.2017|03.02.2018|P18|D   |
|   15|  25|9612547 |2015985505|6|CI-A32: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|14.08.2017|P18|D   |
|   15|  24|9612547 |2015985505|6|CI-A32: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|07.06.2017|P18|D   |
|   15|  23|9612547 |2015985505|6|CS-A49: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|03.06.2017|P18|D   |
|   14|  22|9612547 |2015985505|6|HELIP-A83: PINT                         |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|06.11.2017|P18|C   |
|   13|  21|9612547 |2015985505|6|SD-DEC-A11C: PINT                       |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|26.02.2018|P18|D   |
|   12|  20|9612547 |2015985505|6|SD-DEC-A11A: CALD                       |                                        |010COM02  |RECB      |MEDL     |301018.FSCI.542099.000001     |CTPCM   |30.03.2019|PMANORMA|CAMPSPAR|26.04.2017|          |P18|C   |
|   12|  19|9612547 |2015985505|6|SD-DEC-A11A: PINT                       |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|14.12.2017|P18|D   |
|   11|  18|9612547 |2015985505|6|CI-A20B: PINT                           |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|17.12.2017|P18|D   |
|   10|  17|9612547 |2015985505|6|CS-A19B: CALD                           |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|12.07.2017|P18|C   |
|   10|  16|9612547 |2015985505|6|CI-A19B: CALD                           |                                        |010COM02  |RECB      |MEDL     |301018.FSCI.542099.000001     |CTPCM   |30.03.2019|PMANORMA|CAMPSPAR|26.04.2017|          |P18|C   |
|    9|  15|9612547 |2015985505|6|CS-A48C: PINT                           |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|12.01.2018|P18|D   |
|    4|   5|9612547 |2015985505|6|CS-A73: CALD                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|13.08.2017|P18|C   |
|    5|   6|9612547 |2015985505|6|CS-A56: CALD                            |                                        |010COM02  |RECB      |MEDL     |301018.FSCI.542099.000001     |CTPCM   |30.03.2019|PMANORMA|CAMPSPAR|26.04.2017|          |P18|C   |
|    5|   7|9612547 |2015985505|6|CS-A56: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|04.06.2017|P18|D   |
|    5|   8|9612547 |2015985505|6|CS-A56: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|04.06.2017|P18|D   |
|    5|   9|9612547 |2015985505|6|CS-A56: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|07.06.2017|P18|D   |
|    6|  10|9612547 |2015985505|6|CS-A52: REPAR                           |                                        |010COM02  |RECB      |MEDL     |301018.FSCI.542099.000001     |CTPCM   |30.03.2019|PMANORMA|CAMPSPAR|26.04.2017|          |P18|C   |
|    6|  11|9612547 |2015985505|6|CS-A52: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|29.04.2018|P18|D   |
|    7|  12|9612547 |2015985505|6|CS-A51: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|23.03.2018|P18|D   |
|    8|  13|9612547 |2015985505|6|CS-A51: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|29.04.2018|P18|D   |
|    8|  14|9612547 |2015985505|6|CS-A51: PINT                            |                                        |010COM02  |CMAN      |MEDE MSUC|301018.FSCI.542099.000001     |CTMIECOP|01.06.2017|PMANORMA|CAMPSPAR|26.04.2017|21.01.2018|P18|D   |
